iter	Logloss
0	0.6591392473
1	0.626414137
2	0.5997549745
3	0.5766421289
4	0.5551721227
5	0.5367994871
6	0.5221727542
7	0.5085398771
8	0.4963777345
9	0.485557173
10	0.4758298875
11	0.4704566543
12	0.4613345054
13	0.4547775672
14	0.4482658888
15	0.4420237593
16	0.4391780426
17	0.4340506322
18	0.4298512414
19	0.4261700959
20	0.4220047577
21	0.4195198511
22	0.4161165261
23	0.4140531621
24	0.411083739
25	0.4083539699
26	0.4057466948
27	0.4039597483
28	0.4024477584
29	0.4008023088
30	0.3992209876
31	0.3977348865
32	0.3964789258
33	0.3959031148
34	0.3946229245
35	0.3933959591
36	0.392009124
37	0.3911303487
38	0.3896785378
39	0.3887970578
40	0.3879758812
41	0.3871234138
42	0.3864862112
43	0.3854331516
44	0.3851506931
45	0.3850883134
46	0.3840159917
47	0.3832748064
48	0.3827450182
49	0.3819251296
50	0.3808338665
51	0.3799329436
52	0.3790601711
53	0.3781752061
54	0.3775241558
55	0.3769496125
56	0.3767059097
57	0.3759900009
58	0.3750630312
59	0.3742937692
60	0.3740958429
61	0.3735014387
62	0.3731438886
63	0.3730933962
64	0.3723016473
65	0.371626602
66	0.3712604832
67	0.3706824076
68	0.3703626316
69	0.3697668779
70	0.3693494291
71	0.3686840847
72	0.3683757852
73	0.3677827307
74	0.3672065217
75	0.366632302
76	0.3659637018
77	0.365185228
78	0.3647513872
79	0.3642057181
80	0.363840892
81	0.3633851387
82	0.3629389059
83	0.3624006454
84	0.3618704893
85	0.3614712016
86	0.3610521245
87	0.3607032261
88	0.3604380428
89	0.3603740261
90	0.3600976418
91	0.3595933673
92	0.3591100589
93	0.3585095258
94	0.3578751615
95	0.3574161162
96	0.3570716459
97	0.3567881459
98	0.3564126655
99	0.3560408962
100	0.3555214127
101	0.3553476188
102	0.3549485014
103	0.3544791606
104	0.3539679384
105	0.3535990778
106	0.3530332795
107	0.3527537164
108	0.3521048271
109	0.3516087358
110	0.3512606379
111	0.3509175956
112	0.3504415357
113	0.3494577281
114	0.3492868742
115	0.3486586436
116	0.3484233774
117	0.3479392989
118	0.3474062965
119	0.3469229988
120	0.3464941039
121	0.3461321228
122	0.345564379
123	0.3451115536
124	0.3449504721
125	0.3449048691
126	0.344440087
127	0.3441314742
128	0.3439500086
129	0.3437395982
130	0.3434660401
131	0.3434274094
132	0.3429407456
133	0.3424939263
134	0.3420398814
135	0.3419293832
136	0.3417134438
137	0.341098391
138	0.3408426763
139	0.3405106629
140	0.3400543475
141	0.3397239814
142	0.3394977765
143	0.3389795146
144	0.3386175252
145	0.338376013
146	0.3378707547
147	0.3374063674
148	0.3370546454
149	0.336738922
150	0.3363488669
151	0.335914263
152	0.3356124164
153	0.3355596501
154	0.3350813621
155	0.3348625725
156	0.3346022576
157	0.33406251
158	0.333898471
159	0.3332297114
160	0.3329625192
161	0.3327427393
162	0.3323710428
163	0.3319732211
164	0.3313752622
165	0.3309258908
166	0.3305991964
167	0.3303504245
168	0.3299686493
169	0.3293654654
170	0.3289728314
171	0.328590006
172	0.3282253274
173	0.3278789771
174	0.3273052762
175	0.326968579
176	0.3265084433
177	0.3258004551
178	0.3255259879
179	0.3249810977
180	0.3243641838
181	0.3243159786
182	0.3237669865
183	0.3234559716
184	0.323084732
185	0.322578613
186	0.3224125619
187	0.3220448883
188	0.3218711823
189	0.3214539708
190	0.321217378
191	0.3206948825
192	0.3203207787
193	0.3199079028
194	0.3197962246
195	0.3196333589
196	0.3192894137
197	0.3190191624
198	0.3187337366
199	0.3182716428
200	0.3180421721
201	0.3178593748
202	0.3175018026
203	0.3172468669
204	0.3171163275
205	0.3167612153
206	0.3166946143
207	0.3160961879
208	0.3158577592
209	0.3157865399
210	0.3156583393
211	0.3154543799
212	0.3152949895
213	0.3149742677
214	0.314695494
215	0.3145768188
216	0.3145125115
217	0.3144463759
218	0.3142797824
219	0.314119439
220	0.3136632476
221	0.3132820684
222	0.3129481643
223	0.3127694287
224	0.3126772023
225	0.3122806261
226	0.3120180733
227	0.3119321264
228	0.3118598517
229	0.3114715783
230	0.3109677264
