iter	Logloss
231	0.3106452018
232	0.3103760953
233	0.3099790195
234	0.309730201
235	0.3091902109
236	0.3087006526
237	0.3085911683
238	0.3084617537
239	0.3079877403
240	0.3078671665
241	0.3078103948
242	0.3075184823
243	0.3073688936
244	0.3071413067
245	0.3069892909
246	0.3067312961
247	0.3066793541
248	0.3066046856
249	0.3060599019
250	0.3059917105
251	0.3055825611
252	0.3050950422
253	0.3047972924
254	0.3045452863
255	0.3045013195
256	0.304017105
257	0.3039469775
258	0.3035482303
259	0.3032942594
260	0.3027697206
261	0.3024491948
262	0.302036426
263	0.3019928267
264	0.3014088347
265	0.3009840505
266	0.3004944361
267	0.3001370165
268	0.2997281388
269	0.2994167505
270	0.2993294482
271	0.2991665545
272	0.2989583199
273	0.2989204458
274	0.2985835892
275	0.2981995544
276	0.2981506881
277	0.2980670024
278	0.2979409994
279	0.2976041461
280	0.2974260312
281	0.296903106
282	0.2968715251
283	0.2967109564
284	0.2962450675
285	0.2961906485
286	0.2959962081
287	0.2955363794
288	0.2953845064
289	0.2952412635
290	0.295073985
291	0.2946624441
292	0.2942204964
293	0.2938761594
294	0.2935424934
295	0.2932328213
296	0.2931026183
297	0.2930505919
298	0.2927884571
299	0.2926737854
300	0.2926297209
301	0.2925843117
302	0.2922430589
303	0.2917661956
304	0.291440503
305	0.2913134876
306	0.2909416602
307	0.2908251844
308	0.2907571397
309	0.2903155113
310	0.2898851629
311	0.2894832194
312	0.2893735338
313	0.2890532261
314	0.2885574253
315	0.288308191
316	0.2881807146
317	0.2881142945
318	0.2879753898
319	0.2875986124
320	0.2870815153
321	0.2870037842
322	0.2867270933
323	0.2865747366
324	0.2863283698
325	0.2860832404
326	0.2855841986
327	0.2852917161
328	0.2849440713
329	0.2847042067
330	0.2843479719
331	0.2843137115
332	0.2839201049
333	0.2835372166
334	0.2831212855
335	0.2828301632
336	0.282510125
337	0.2822271642
338	0.2818645015
339	0.281699949
340	0.2813336889
341	0.2807571662
342	0.2804439252
343	0.2802371198
344	0.2798534291
345	0.2794702045
346	0.2792307312
347	0.2791839808
348	0.2791611292
349	0.2788914863
350	0.2785828473
351	0.2785394612
352	0.2781683571
353	0.2779153817
354	0.2776668268
355	0.2774438188
356	0.2771787894
357	0.2769014107
358	0.2767790529
359	0.2765540584
360	0.2761883929
361	0.2761598469
362	0.2758450488
363	0.2755509921
364	0.2752221087
365	0.2749931105
366	0.2746841942
367	0.2744845915
368	0.2740738102
369	0.2740076673
370	0.2737202027
371	0.2735102484
372	0.2733230997
373	0.2729666265
374	0.27266811
375	0.2723564495
376	0.2720031577
377	0.2719759693
378	0.2716336547
379	0.2714731247
380	0.2714390072
381	0.2712733202
382	0.2711264378
383	0.2706936837
384	0.2704519547
385	0.2700107215
386	0.2698503529
387	0.2694750216
388	0.2691337928
389	0.2689730119
390	0.2689185203
391	0.2687777723
392	0.2684996369
393	0.2683248685
394	0.2682414463
395	0.2681897282
396	0.268140177
397	0.2679322149
398	0.2676889536
399	0.2674190212
